tweet_id	user_id	created_at	ANEW_Arousal	ANEW_Dominance	ANEW_Valence
043t0000000	043u0001	2020-04-23 12:45:58+00:00	4.171666666666667	4.226666666666668	4.236666666666666
043t0000001	043u0001	2020-04-23 11:28:08+00:00	3.533333333333333	3.986666666666667	3.94
043t0000002	043u0001	2020-04-23 11:19:08+00:00			
043t0000003	043u0001	2020-04-22 22:31:24+00:00			
043t0000004	043u0001	2020-04-22 15:06:45+00:00	3.3	4.03	4.31
043t0000005	043u0001	2020-04-21 15:48:09+00:00	3.704	4.198	4.162000000000001
043t0000006	043u0001	2020-04-21 14:04:33+00:00	3.5966666666666662	3.8433333333333337	3.3166666666666664
043t0000007	043u0001	2020-04-21 13:17:06+00:00	4.57	4.816666666666666	4.66
043t0000008	043u0001	2020-04-21 11:41:42+00:00	3.36	4.03	3.89
043t0000009	043u0001	2020-04-21 10:32:35+00:00	4.275	4.49	5.199999999999999
043t0000010	043u0001	2020-04-21 09:53:25+00:00	4.298	4.2780000000000005	4.351999999999999
043t0000011	043u0001	2020-04-21 09:23:24+00:00			
043t0000012	043u0001	2020-04-20 11:51:21+00:00	3.09	3.53	3.4933333333333336
043t0000013	043u0001	2020-04-20 11:32:52+00:00	3.595	4.08	3.685
043t0000014	043u0001	2020-04-20 10:11:15+00:00	4.25	4.02	4.56
043t0000015	043u0001	2020-04-19 17:15:20+00:00	3.75	4.025	3.865
043t0000016	043u0001	2020-04-19 08:59:29+00:00	3.315	3.83	3.36
043t0000017	043u0001	2020-04-18 17:18:37+00:00	5.59	5.19	2.88
043t0000018	043u0001	2020-04-18 15:29:54+00:00	3.95	4.175	3.8
043t0000019	043u0001	2020-04-17 21:12:36+00:00			
043t0000020	043u0001	2020-04-17 09:50:17+00:00	4.075714285714286	4.332857142857143	3.997142857142857
043t0000021	043u0001	2020-04-17 09:47:57+00:00	3.48	3.95	4.25
043t0000022	043u0001	2020-04-16 22:22:48+00:00	4.01	4.33	3.96
043t0000023	043u0001	2020-04-16 21:32:04+00:00	5.484999999999999	4.62	4.345
043t0000024	043u0001	2020-04-16 16:20:46+00:00	4.2	4.78	6.13
043t0000025	043u0001	2020-04-16 14:51:22+00:00	3.75	3.693333333333333	3.97
043t0000026	043u0001	2020-04-16 11:18:13+00:00	4.453333333333334	4.29	5.066666666666666
043t0000027	043u0001	2020-04-16 11:08:08+00:00	4.097142857142857	4.102857142857142	4.361428571428571
043t0000028	043u0001	2020-04-15 21:59:21+00:00	3.8683333333333336	4.29	4.348333333333334
043t0000029	043u0001	2020-04-15 17:09:24+00:00			
043t0000030	043u0001	2020-04-15 15:11:07+00:00			
043t0000031	043u0001	2020-04-15 15:07:52+00:00	4.0125	4.2725	4.2625
043t0000032	043u0001	2020-04-15 12:04:35+00:00	4.34	4.19	4.61
043t0000033	043u0001	2020-04-15 09:56:17+00:00	4.86	4.53	3.06
043t0000034	043u0001	2020-04-15 09:01:25+00:00	4.294	4.476	4.424
043t0000035	043u0001	2020-04-14 15:56:14+00:00	3.703333333333333	4.23	3.8166666666666655
043t0000036	043u0001	2020-04-14 10:29:27+00:00	3.263333333333333	3.633333333333333	2.8366666666666664
043t0000037	043u0001	2020-04-13 11:07:43+00:00			
043t0000038	043u0001	2020-04-13 09:06:29+00:00			
043t0000039	043u0001	2020-04-11 17:51:20+00:00			
043t0000040	043u0001	2020-04-11 16:15:13+00:00	4.141666666666667	4.541666666666667	4.675
043t0000041	043u0001	2020-04-11 13:16:58+00:00			
043t0000042	043u0001	2020-04-10 22:16:48+00:00	3.41	4.166666666666667	3.9466666666666654
043t0000043	043u0001	2020-04-10 17:25:26+00:00	3.44	4.02	4.22
